The measurements of stack and heap usage are taken every 10 seconds fot 10 minutes.

I (445484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (445744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (446144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (446154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (455484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (455744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (456144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (456154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (465494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (465744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (466144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (466154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (475484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (475744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (476144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (476154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (485484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (485744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (486144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (486154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (495484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (495744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (496144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (496154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (505484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (505744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (506144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (506154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (515484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (515744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (516144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (516154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (525494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (525744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (526144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (526154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (535484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (535744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (536144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (536154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
